country_name,city,population
Afghanistan,Kabul,1780000
Angola,Luanda,2022000
"United Arab Emirates","Abu Dhabi",398695
Argentina,"Buenos Aires",2982146
Armenia,Yerevan,1248700
Austria,Wien,1608144
Azerbaijan,Baku,1787800
"Burkina Faso",Ouagadougou,824000
Bangladesh,Dhaka,3612850
Bulgaria,Sofija,1122302
"Bosnia and Herzegovina",Sarajevo,360000
Belarus,Minsk,1674000
Bolivia,"La Paz",758141
Brazil,Brasília,1969868
Botswana,Gaborone,213017
Canada,Ottawa,335277
Chile,"Santiago de Chile",4703954
China,Peking,7472000
Cameroon,Yaoundé,1372800
"Congo, The Democratic Republic of the",Kinshasa,5064000
Congo,Brazzaville,950000
Colombia,"Santafé de Bogotá",6260862
Cuba,"La Habana",2256000
Cyprus,Nicosia,195000
"Czech Republic",Praha,1181126
Germany,Berlin,3386667
Denmark,København,495699
"Dominican Republic","Santo Domingo de Guzmán",1609966
Algeria,Alger,2168000
Ecuador,Quito,1573458
Egypt,Cairo,6789479
Spain,Madrid,2879052
Estonia,Tallinn,403981
Ethiopia,"Addis Abeba",2495000
Finland,"Helsinki [Helsingfors]",555474
France,Paris,2125246
"United Kingdom",London,7285000
Georgia,Tbilisi,1235200
Ghana,Accra,1070000
Greece,Athenai,772072
Guatemala,"Ciudad de Guatemala",823301
Honduras,Tegucigalpa,813900
Croatia,Zagreb,706770
Haiti,Port-au-Prince,884472
Hungary,Budapest,1811552
Indonesia,Jakarta,9604900
Ireland,Dublin,481854
Iran,Teheran,6758845
Iraq,Baghdad,4336000
Israel,Jerusalem,633700
Italy,Roma,2643581
Jordan,Amman,1000000
Japan,Tokyo,7980230
Kazakstan,Astana,311200
Kenya,Nairobi,2290000
Kyrgyzstan,Bishkek,589400
Cambodia,"Phnom Penh",570155
"South Korea",Seoul,9981619
Laos,Vientiane,531800
Lebanon,Beirut,1100000
"Libyan Arab Jamahiriya",Tripoli,1682000
"Sri Lanka",Colombo,645000
Lithuania,Vilnius,577969
Latvia,Riga,764328
Morocco,Rabat,623457
Moldova,Chisinau,719900
Madagascar,Antananarivo,675669
Mexico,"Ciudad de México",8591309
Myanmar,"Rangoon (Yangon)",3361700
Mozambique,Maputo,1018938
Mauritania,Nouakchott,667300
Mauritius,Port-Louis,138200
Malaysia,"Kuala Lumpur",1297526
Niger,Niamey,420000
Nigeria,Abuja,350100
Nicaragua,Managua,959000
Netherlands,Amsterdam,731200
Norway,Oslo,508726
Nepal,Kathmandu,591835
Panama,"Ciudad de Panamá",471373
Peru,Lima,6464693
Philippines,Manila,1581082
Poland,Warszawa,1615369
"Puerto Rico","San Juan",434374
"North Korea",Pyongyang,2484000
Portugal,Lisboa,563210
Paraguay,Asunción,557776
Palestine,Gaza,353632
Romania,Bucuresti,2016131
"Russian Federation",Moscow,8389200
"Saudi Arabia",Riyadh,3324000
Sudan,Khartum,947483
Senegal,Dakar,785071
"El Salvador","San Salvador",415346
Somalia,Mogadishu,997000
Slovakia,Bratislava,448292
Slovenia,Ljubljana,270986
Sweden,Stockholm,750348
Syria,Damascus,1347000
Chad,N´Djaména,530965
Thailand,Bangkok,6320174
Tajikistan,Dushanbe,524000
Turkmenistan,Ashgabat,540600
Tunisia,Tunis,690600
Turkey,Ankara,3038159
Taiwan,Taipei,2641312
Ukraine,Kyiv,2624000
"United States",Washington,572059
Uzbekistan,Toskent,2117500
Venezuela,Caracas,1975294
Vietnam,Hanoi,1410000
Yemen,Sanaa,503600
Yugoslavia,Beograd,1204000
"South Africa",Pretoria,658630
Zambia,Lusaka,1317000
Zimbabwe,Harare,1410000
